,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명
364,경기도지사,경기도 수원시 권선구 권광로 129,경기도 수원시 권선구 권선동 1015-6,생활방범,9,200.0,,30.0,2000-01,031-230-1615,37.259429,127.03038,2017-04-19,B460004,대한적십자사
6277,경기도혈액원,경기도 수원시 권선구 권광로 129,경기도 수원시 권선구 권선동 1015-6번지,생활방범,6,200.0,,30.0,2012-10,031-220-8500,37.259429,127.03038,2017-04-19,B460004,대한적십자사
6279,경기도혈액원,경기도 수원시 팔달구 덕영대로 923-1 새수원빌딩 4층,경기도 수원시 팔달구 매산로1가 57-104 새수원빌딩 4층,생활방범,2,200.0,,30.0,2015-11,031-245-6518,37.266146,127.001686,2017-04-19,B460004,대한적십자사
7817,경기도 수원시,경기도 수원시 팔달구 창룡대로103번길 41,경기도 수원시 팔달구 매향동 121-136,생활방범,4,200.0,360도전방면,30.0,2017-05,031-228-3304,37.2866498,127.0227291,2020-07-31,3740000,경기도 수원시
7818,경기도 수원시,경기도 수원시 장안구 연무로13번길 13,경기도 수원시 장안구 연무동 239-22,생활방범,1,200.0,360도전방면,30.0,2017-05,031-228-3304,37.2932893,127.0283584,2020-07-31,3740000,경기도 수원시
7819,경기도 수원시,경기도 수원시 팔달구 팔달문로163번길 7,,생활방범,1,200.0,360도전방면,30.0,2017-05,031-228-3304,37.2834309,127.0335535,2020-07-31,3740000,경기도 수원시
7820,경기도 수원시,경기도 수원시 장안구 창훈로52번길 3,경기도 수원시 장안구 연무동 56-118,생활방범,1,200.0,360도전방면,30.0,2012-09,031-228-3304,37.2970642,127.0301981,2020-07-31,3740000,경기도 수원시
7821,경기도 수원시,경기도 수원시 팔달구 수원천로213번길 4,경기도 수원시 팔달구 구천동 46-35,생활방범,7,200.0,360도전방면,30.0,2018-12,031-228-3304,37.2729909,127.0180577,2020-07-31,3740000,경기도 수원시
7822,경기도 수원시,경기도 수원시 팔달구 수성로232번길 42,,생활방범,1,200.0,360도전방면,30.0,2017-05,031-228-3304,37.2875705,126.9988109,2020-07-31,3740000,경기도 수원시
7823,경기도 수원시,경기도 수원시 팔달구 수성로232번길 61,,생활방범,1,200.0,360도전방면,30.0,2017-05,031-228-3304,37.2866784,126.9987884,2020-07-31,3740000,경기도 수원시
7824,경기도 수원시,경기도 수원시 팔달구 수성로244번길 38,,생활방범,1,130.0,360도전방면,30.0,2012-09,031-228-3304,37.2874263,126.9992508,2020-07-31,3740000,경기도 수원시
7825,경기도 수원시,경기도 수원시 팔달구 수성로244번길 20-3,,생활방범,1,200.0,360도전방면,30.0,2017-01,031-228-3304,37.2881201,126.999059,2020-07-31,3740000,경기도 수원시
7826,경기도 수원시,경기도 수원시 권선구 덕영대로997번길 57,,생활방범,1,200.0,360도전방면,30.0,2017-05,031-228-3304,37.2585123,127.0070641,2020-07-31,3740000,경기도 수원시
7827,경기도 수원시,경기도 수원시 권선구 구운중로11번길 49,경기도 수원시 권선구 구운동 538,생활방범,4,200.0,360도전방면,30.0,2017-05,031-228-3304,37.2756815,126.9704207,2020-07-31,3740000,경기도 수원시
7829,경기도 수원시,경기도 수원시 권선구 세화로169번길 26-1,경기도 수원시 권선구 서둔동 45-37,생활방범,4,200.0,360도전방면,30.0,2017-05,031-228-3304,37.2668734,126.9915855,2020-07-31,3740000,경기도 수원시
7830,경기도 수원시,경기도 수원시 권선구 서둔로7번길 19,경기도 수원시 권선구 고색동 890-174,생활방범,1,130.0,360도전방면,30.0,2012-09,031-228-3304,37.2520684,126.9830664,2020-07-31,3740000,경기도 수원시
7831,경기도 수원시,경기도 수원시 권선구 칠보로125번길 28,경기도 수원시 권선구 호매실동 464-1,생활방범,1,200.0,360도전방면,30.0,2017-05,031-228-3304,37.2667367,126.9515973,2020-07-31,3740000,경기도 수원시
7832,경기도 수원시,경기도 수원시 권선구 세권로61번길 21,,생활방범,5,130.0,360도전방면,30.0,2016-11,031-228-3304,37.2598186,127.011562,2020-07-31,3740000,경기도 수원시
7833,경기도 수원시,경기도 수원시 권선구 권선로545번길 14,,생활방범,1,130.0,360도전방면,30.0,2012-09,031-228-3304,37.2636299,127.0115624,2020-07-31,3740000,경기도 수원시
7834,경기도 수원시,경기도 수원시 권선구 수원천로 103,,생활방범,4,200.0,360도전방면,30.0,2017-05,031-228-3304,37.2640714,127.0123403,2020-07-31,3740000,경기도 수원시
7835,경기도 수원시,경기도 수원시 권선구 효원로94번길 15-14,,생활방범,1,200.0,360도전방면,30.0,2017-05,031-228-3304,37.2652697,127.0122277,2020-07-31,3740000,경기도 수원시
7836,경기도 수원시,경기도 수원시 권선구 세권로85번길 13,,생활방범,1,200.0,360도전방면,30.0,2017-05,031-228-3304,37.2588813,127.0138615,2020-07-31,3740000,경기도 수원시
7838,경기도 수원시,경기도 수원시 영통구 매원로11번길 8-16,,생활방범,1,200.0,360도전방면,30.0,2017-01,031-228-3304,37.2671535,127.0483382,2020-07-31,3740000,경기도 수원시
7839,경기도 수원시,경기도 수원시 장안구 덕영대로535번길 67,경기도 수원시 장안구 천천동 514,생활방범,1,200.0,360도전방면,30.0,2012-02,031-228-3304,37.2983993,126.983449,2020-07-31,3740000,경기도 수원시
7840,경기도 수원시,경기도 수원시 장안구 서부로 2066,경기도 수원시 장안구 천천동 500,생활방범,1,200.0,360도전방면,30.0,2012-02,031-228-3304,37.299119,126.9779561,2020-07-31,3740000,경기도 수원시
7841,경기도 수원시,경기도 수원시 장안구 정자천로134번길 23,,생활방범,1,130.0,360도전방면,30.0,2012-02,031-228-3304,37.2923996,126.9922809,2020-07-31,3740000,경기도 수원시
7843,경기도 수원시,경기도 수원시 팔달구 중부대로87번길 15,경기도 수원시 팔달구 지동 115-8,생활방범,4,200.0,360도전방면,30.0,2016-06,031-228-3304,37.2771524,127.0258386,2020-07-31,3740000,경기도 수원시
7844,경기도 수원시,경기도 수원시 팔달구 세지로331번길 38,경기도 수원시 팔달구 지동 297-21,생활방범,4,200.0,360도전방면,30.0,2016-06,031-228-3304,37.2815411,127.0221752,2020-07-31,3740000,경기도 수원시
7845,경기도 수원시,경기도 수원시 팔달구 세지로377번길 14-1,경기도 수원시 팔달구 지동 231-3,생활방범,4,130.0,360도전방면,30.0,2016-06,031-228-3304,37.2843786,127.0262016,2020-07-31,3740000,경기도 수원시
7846,경기도 수원시,경기도 수원시 팔달구 중부대로39번길 47,경기도 수원시 팔달구 지동 350-20,생활방범,4,130.0,360도전방면,30.0,2016-06,031-228-3304,37.2771532,127.0214976,2020-07-31,3740000,경기도 수원시
7847,경기도 수원시,경기도 수원시 팔달구 팔달문로82번길 38-3,경기도 수원시 팔달구 지동 178-6,생활방범,4,130.0,360도전방면,30.0,2016-06,031-228-3304,37.2796841,127.0270571,2020-07-31,3740000,경기도 수원시
7848,경기도 수원시,경기도 수원시 권선구 세지로77번길 11-2,,생활방범,1,200.0,360도전방면,30.0,2017-01,031-228-3304,37.2589891,127.0169728,2020-07-31,3740000,경기도 수원시
7850,경기도 수원시,경기도 수원시 영통구 영통로153번길 74-5,경기도 수원시 영통구 망포동 254,생활방범,5,130.0,360도전방면,30.0,2012-02,031-228-3304,37.2416895,127.0507009,2020-07-31,3740000,경기도 수원시
7851,경기도 수원시,경기도 수원시 영통구 영통로501번길 26,,생활방범,5,130.0,360도전방면,30.0,2012-02,031-228-3304,37.2644901,127.0769375,2020-07-31,3740000,경기도 수원시
7852,경기도 수원시,경기도 수원시 영통구 신원로250번길 58,경기도 수원시 영통구 영통동 76-1,생활방범,4,130.0,360도전방면,30.0,2012-02,031-228-3304,37.2571544,127.0633922,2020-07-31,3740000,경기도 수원시
7853,경기도 수원시,경기도 수원시 영통구 영통로174번길 62,경기도 수원시 영통구 망포동 355-1,생활방범,4,130.0,360도전방면,30.0,2012-02,031-228-3304,37.2430735,127.0589179,2020-07-31,3740000,경기도 수원시
7854,경기도 수원시,경기도 수원시 영통구 신원로 97,경기도 수원시 영통구 신동 398-8,생활방범,4,130.0,360도전방면,30.0,2012-02,031-228-3304,37.2476897,127.052339,2020-07-31,3740000,경기도 수원시
7855,경기도 수원시,경기도 수원시 장안구 정자로145번길 40,,생활방범,1,200.0,360도전방면,30.0,2012-02,031-228-3304,37.3054823,126.9909481,2020-07-31,3740000,경기도 수원시
7856,경기도 수원시,경기도 수원시 장안구 정자로130번길 44,,생활방범,1,200.0,360도전방면,30.0,2012-02,031-228-3304,37.3011485,126.9921218,2020-07-31,3740000,경기도 수원시
7857,경기도 수원시,경기도 수원시 장안구 수성로289번길 40,,생활방범,1,200.0,360도전방면,30.0,2012-02,031-228-3304,37.2924271,127.0027804,2020-07-31,3740000,경기도 수원시
7858,경기도 수원시,경기도 수원시 장안구 수성로275번길 28,,생활방범,1,130.0,360도전방면,30.0,2012-02,031-228-3304,37.2916522,127.0016752,2020-07-31,3740000,경기도 수원시
7859,경기도 수원시,경기도 수원시 장안구 만석로 29,경기도 수원시 장안구 천천동 529,생활방범,1,130.0,360도전방면,30.0,2012-02,031-228-3304,37.2974261,126.9833364,2020-07-31,3740000,경기도 수원시
7860,경기도 수원시,경기도 수원시 장안구 덕영대로417번길 1,경기도 수원시 장안구 율전동 192-13,생활방범,1,200.0,360도전방면,30.0,2012-02,031-228-3304,37.3012071,126.9686169197,2020-07-31,3740000,경기도 수원시
7862,경기도 수원시,경기도 수원시 장안구 서부로2106번길 26-130,경기도 수원시 장안구 율전동 439-8,생활방범,1,130.0,360도전방면,30.0,2012-02,031-228-3304,37.2971538,126.9734567,2020-07-31,3740000,경기도 수원시
7863,경기도 수원시,경기도 수원시 장안구 서부로2197번길 35-2,경기도 수원시 장안구 율전동 105-8,생활방범,1,130.0,360도전방면,30.0,2012-02,031-228-3304,37.3040909,126.9704762,2020-07-31,3740000,경기도 수원시
7864,경기도 수원시,경기도 수원시 장안구 수일로 20-7,경기도 수원시 장안구 파장동 201-4,생활방범,1,200.0,360도전방면,30.0,2012-02,031-228-3304,37.3113122,126.994399,2020-07-31,3740000,경기도 수원시
7865,경기도 수원시,경기도 수원시 장안구 장안로 447,경기도 수원시 장안구 이목동 203-1,생활방범,1,200.0,360도전방면,30.0,2012-02,031-228-3304,37.3184013,126.979642,2020-07-31,3740000,경기도 수원시
7866,경기도 수원시,경기도 수원시 권선구 세지로28번길 13,,생활방범,5,200.0,360도전방면,30.0,2017-05,031-228-3304,37.254466,127.0163971,2020-07-31,3740000,경기도 수원시
7867,경기도 수원시,경기도 수원시 권선구 경수대로211번길 18,,생활방범,4,200.0,360도전방면,30.0,2017-05,031-228-3304,37.2464919,127.0163393,2020-07-31,3740000,경기도 수원시
7868,경기도 수원시,경기도 수원시 팔달구 경수대로443번길 18,경기도 수원시 팔달구 인계동 992-12,생활방범,1,130.0,360도전방면,30.0,2012-09,031-228-3304,37.266151,127.0250348,2020-07-31,3740000,경기도 수원시
7869,경기도 수원시,경기도 수원시 권선구 동수원로146번길 187,경기도 수원시 권선구 곡반정동 521-9,생활방범,5,200.0,360도전방면,30.0,2017-05,031-228-3304,37.242407,127.0332777,2020-07-31,3740000,경기도 수원시
7870,경기도 수원시,경기도 수원시 영통구 영통로130번길 59,경기도 수원시 영통구 망포동 415,생활방범,4,200.0,360도전방면,30.0,2017-05,031-228-3304,37.2403523,127.0590511,2020-07-31,3740000,경기도 수원시
7871,경기도 수원시,경기도 수원시 영통구 청명로59번길 59-2,경기도 수원시 영통구 영통동 1027-24,생활방범,4,200.0,360도전방면,30.0,2017-05,031-228-3304,37.2501259,127.0796962,2020-07-31,3740000,경기도 수원시
7872,경기도 수원시,경기도 수원시 영통구 매영로415번길 7,경기도 수원시 영통구 영통동 1015-7,생활방범,5,200.0,360도전방면,30.0,2017-05,031-228-3304,37.2490195,127.0767533,2020-07-31,3740000,경기도 수원시
7873,경기도 수원시,경기도 수원시 영통구 덕영대로1673번길 8-6,경기도 수원시 영통구 영통동 991-3,생활방범,4,200.0,360도전방면,30.0,2017-05,031-228-3304,37.2477684,127.0745768,2020-07-31,3740000,경기도 수원시
7874,경기도 수원시,경기도 수원시 영통구 청명남로4번길 21-1,경기도 수원시 영통구 영통동 1002-8,생활방범,4,200.0,360도전방면,30.0,2017-05,031-228-3304,37.2498769,127.0743871,2020-07-31,3740000,경기도 수원시
7875,경기도 수원시,경기도 수원시 영통구 청명로77번길 7,,생활방범,1,130.0,360도전방면,30.0,2012-09,031-228-3304,37.2533793,127.0786963,2020-07-31,3740000,경기도 수원시
7876,경기도 수원시,경기도 수원시 장안구 장안로42번길 38,경기도 수원시 장안구 영화동 420-1,생활방범,5,200.0,360도전방면,30.0,2017-05,031-228-3304,37.2892103,127.0067838,2020-07-31,3740000,경기도 수원시
7877,경기도 수원시,경기도 수원시 장안구 수성로402번길 30-4,경기도 수원시 장안구 영화동 212-13,생활방범,4,200.0,360도전방면,30.0,2017-05,031-228-3304,37.2933724,127.0157273,2020-07-31,3740000,경기도 수원시
7878,경기도 수원시,경기도 수원시 팔달구 정조로886번길 7,경기도 수원시 팔달구 북수동 109-3,생활방범,5,130.0,360도전방면,30.0,2012-09,031-228-3304,37.2870382,127.0156135,2020-07-31,3740000,경기도 수원시
7879,경기도 수원시,경기도 수원시 권선구 덕영대로1142번길 23-17,,어린이보호,1,200.0,360도전방면,30.0,2011-03,031-228-3304,37.2502131,127.0163399,2020-07-31,3740000,경기도 수원시
7881,경기도 수원시,경기도 수원시 권선구 곡반정로19번길 41,경기도 수원시 권선구 곡반정동 604-4,어린이보호,5,200.0,360도전방면,30.0,2017-01,031-228-3304,37.2337951,127.0246422,2020-07-31,3740000,경기도 수원시
7882,경기도 수원시,경기도 수원시 권선구 곡반정로19번길 15-5,경기도 수원시 권선구 곡반정동 608-1,어린이보호,4,200.0,360도전방면,30.0,2017-01,031-228-3304,37.2326869,127.0238643,2020-07-31,3740000,경기도 수원시
7884,경기도 수원시,경기도 수원시 권선구 효탑로 24-21,경기도 수원시 권선구 탑동 869-8,어린이보호,1,200.0,360도전방면,30.0,2011-03,031-228-3304,37.2669069,126.9758134,2020-07-31,3740000,경기도 수원시
7885,경기도 수원시,경기도 수원시 영통구 권광로 304번길 50,,어린이보호,1,200.0,360도전방면,30.0,2011-03,031-228-3304,37.2738242,127.0394464,2020-07-31,3740000,경기도 수원시
7886,경기도 수원시,경기도 수원시 영통구 중부대로 246번길 36-16,,어린이보호,1,200.0,360도전방면,30.0,2011-03,031-228-3304,37.2736525,127.0410811,2020-07-31,3740000,경기도 수원시
7887,경기도 수원시,경기도 수원시 권선구 서호동로14번길 52-3,경기도 수원시 권선구 서둔동 27-48,어린이보호,1,200.0,360도전방면,30.0,2011-03,031-228-3304,37.2656298,126.9895114,2020-07-31,3740000,경기도 수원시
7888,경기도 수원시,경기도 수원시 장안구 광교산로140번길 8,,어린이보호,1,200.0,360도전방면,30.0,2011-03,031-228-3304,37.2991543,127.0313042,2020-07-31,3740000,경기도 수원시
7889,경기도 수원시,경기도 수원시 장안구 광교산로138번길 45,경기도 수원시 장안구 연무동 61-251,어린이보호,1,200.0,360도전방면,30.0,2011-03,031-228-3304,37.2983434,127.0310332,2020-07-31,3740000,경기도 수원시
7890,경기도 수원시,경기도 수원시 장안구 수일로 185,,어린이보호,1,200.0,360도전방면,30.0,2017-05,031-228-3304,37.3081227,127.0100898,2020-07-31,3740000,경기도 수원시
7891,경기도 수원시,경기도 수원시 장안구 수일로 185,,어린이보호,1,200.0,360도전방면,30.0,2011-03,031-228-3304,37.3081227,127.0100898,2020-07-31,3740000,경기도 수원시
7892,경기도 수원시,경기도 수원시 장안구 경수대로 838,,어린이보호,1,200.0,360도전방면,30.0,2011-03,031-228-3304,37.2959854,127.0154458,2020-07-31,3740000,경기도 수원시
7893,경기도 수원시,경기도 수원시 장안구 경수대로 838,,어린이보호,1,200.0,360도전방면,30.0,2011-03,031-228-3304,37.2971477,127.0156716,2020-07-31,3740000,경기도 수원시
7895,경기도 수원시,경기도 수원시 장안구 송정로 41,경기도 수원시 장안구 송죽동 409-22,어린이보호,1,200.0,360도전방면,30.0,2011-03,031-228-3304,37.2974007,127.0012014,2020-07-31,3740000,경기도 수원시
7896,경기도 수원시,경기도 수원시 영통구 산남로21번길 12,,생활방범,4,130.0,360도전방면,30.0,2012-02,031-228-3304,37.265685,127.0479202,2020-07-31,3740000,경기도 수원시
7897,경기도 수원시,경기도 수원시 영통구 매여울로40번길 80-20,,생활방범,4,130.0,360도전방면,30.0,2012-02,031-228-3304,37.2719018,127.0488597,2020-07-31,3740000,경기도 수원시
7898,경기도 수원시,경기도 수원시 영통구 매여울로57번길 24,,생활방범,5,130.0,360도전방면,30.0,2012-02,031-228-3304,37.2733725,127.0430879,2020-07-31,3740000,경기도 수원시
7899,경기도 수원시,경기도 수원시 영통구 영통로89번길 72,경기도 수원시 영통구 망포동 599-4,생활방범,4,130.0,360도전방면,30.0,2012-02,031-228-3304,37.2354071,127.055723,2020-07-31,3740000,경기도 수원시
7900,경기도 수원시,경기도 수원시 장안구 금당로10번길 40,,생활방범,1,200.0,360도전방면,30.0,2012-02,031-228-3304,37.3027071,127.0148379,2020-07-31,3740000,경기도 수원시
7902,경기도 수원시,경기도 수원시 장안구 만석로103번길 44,,생활방범,1,200.0,360도전방면,30.0,2012-02,031-228-3304,37.300761,126.9916143,2020-07-31,3740000,경기도 수원시
7903,경기도 수원시,경기도 수원시 장안구 정자천로188번길 71-21,,생활방범,1,200.0,360도전방면,30.0,2012-02,031-228-3304,37.2940398,126.9986414,2020-07-31,3740000,경기도 수원시
7904,경기도 수원시,경기도 수원시 장안구 덕영대로395번길 12,경기도 수원시 장안구 율전동 182-2,생활방범,1,200.0,360도전방면,30.0,2012-02,031-228-3304,37.301819,126.9660332,2020-07-31,3740000,경기도 수원시
7905,경기도 수원시,경기도 수원시 장안구 화산로233번길 38,경기도 수원시 장안구 율전동 402-5,생활방범,1,200.0,360도전방면,30.0,2012-02,031-228-3304,37.2980089,126.9703435,2020-07-31,3740000,경기도 수원시
7906,경기도 수원시,경기도 수원시 팔달구 팔달문로 65,경기도 수원시 팔달구 지동 280-16,생활방범,5,200.0,360도전방면,30.0,2017-09,031-228-3304,37.2797658,127.0236744,2020-07-31,3740000,경기도 수원시
7907,경기도 수원시,경기도 수원시 팔달구 신풍로 25,경기도 수원시 팔달구 신풍동 221-14,생활방범,5,200.0,360도전방면,30.0,2017-01,031-228-3304,37.2831549,127.0149814,2020-07-31,3740000,경기도 수원시
7908,경기도 수원시,경기도 수원시 팔달구 수원천로 127,경기도 수원시 팔달구 매교동 113-17,생활방범,3,130.0,360도전방면,30.0,2018-12,031-228-3304,37.2661256,127.0139753,2020-07-31,3740000,경기도 수원시
7909,경기도 수원시,경기도 수원시 팔달구 고화로72번길 9-20,경기도 수원시 팔달구 고등동 14-5,생활방범,4,130.0,360도전방면,30.0,2012-02,031-228-3304,37.2764067,127.0071101,2020-07-31,3740000,경기도 수원시
7910,경기도 수원시,경기도 수원시 장안구 덕영대로417번길 98,경기도 수원시 장안구 율전동 142-22,어린이보호,1,200.0,360도전방면,30.0,2011-03,031-228-3304,37.304451,126.9693932,2020-07-31,3740000,경기도 수원시
7911,경기도 수원시,경기도 수원시 장안구 금당로 53,,어린이보호,1,200.0,360도전방면,30.0,2011-03,031-228-3304,37.3029592,127.0168682,2020-07-31,3740000,경기도 수원시
7912,경기도 수원시,경기도 수원시 장안구 금당로39번길 6,,어린이보호,1,200.0,360도전방면,30.0,2011-03,031-228-3304,37.3030945,127.0160561,2020-07-31,3740000,경기도 수원시
7913,경기도 수원시,경기도 수원시 장안구 금당로 19,,어린이보호,1,200.0,360도전방면,30.0,2011-03,031-228-3304,37.3035093,127.0125257,2020-07-31,3740000,경기도 수원시
7914,경기도 수원시,경기도 수원시 장안구 금당로 19,,어린이보호,4,200.0,360도전방면,30.0,2011-03,031-228-3304,37.3054821,127.0163047,2020-07-31,3740000,경기도 수원시
7915,경기도 수원시,경기도 수원시 팔달구 장다리로245번길 7,경기도 수원시 팔달구 인계동 968-1,어린이보호,5,200.0,360도전방면,30.0,2017-06,031-228-3304,37.2716291,127.0261977,2020-07-31,3740000,경기도 수원시
7916,경기도 수원시,경기도 수원시 팔달구 세지로234번길 23,경기도 수원시 팔달구 인계동 822-20,어린이보호,4,200.0,360도전방면,30.0,2018-06,031-228-3304,37.2720437,127.0252508,2020-07-31,3740000,경기도 수원시
7920,경기도 수원시,경기도 수원시 권선구 덕영대로1217번길 36,,어린이보호,1,200.0,360도전방면,30.0,2011-03,031-228-3304,37.2507617905,127.0252218,2020-07-31,3740000,경기도 수원시
7922,경기도 수원시,경기도 수원시 권선구 서수원로 607,경기도 수원시 권선구 금곡동 1006,어린이보호,1,200.0,360도전방면,30.0,2011-03,031-228-3304,37.2795141,126.9534829,2020-07-31,3740000,경기도 수원시
7923,경기도 수원시,경기도 수원시 권선구 여기산로 24,경기도 수원시 권선구 서둔동 260-99,어린이보호,4,200.0,360도전방면,30.0,2017-08,031-228-3304,37.2795669,126.9787067,2020-07-31,3740000,경기도 수원시
7924,경기도 수원시,경기도 수원시 권선구 세권로 85,,어린이보호,4,200.0,360도전방면,30.0,2011-03,031-228-3304,37.2582956,127.0138389,2020-07-31,3740000,경기도 수원시
7925,경기도 수원시,경기도 수원시 권선구 세지로126번길 15-1,,어린이보호,1,200.0,360도전방면,30.0,2011-03,031-228-3304,37.2626558,127.0206147,2020-07-31,3740000,경기도 수원시
7926,경기도 수원시,경기도 수원시 권선구 세지로140번길 41,,어린이보호,1,200.0,360도전방면,30.0,2011-03,031-228-3304,37.2635205,127.0226441,2020-07-31,3740000,경기도 수원시
7927,경기도 수원시,경기도 수원시 권선구 당진로14번길 3,경기도 수원시 권선구 당수동 232-7,어린이보호,1,200.0,360도전방면,30.0,2011-03,031-228-3304,37.2904014,126.940676,2020-07-31,3740000,경기도 수원시
7928,경기도 수원시,경기도 수원시 권선구 당진로14번길 23,경기도 수원시 권선구 당수동 219-1,어린이보호,1,200.0,360도전방면,30.0,2011-03,031-228-3304,37.2903209,126.9417926,2020-07-31,3740000,경기도 수원시
7930,경기도 수원시,경기도 수원시 권선구 세권로195번길 20-23,,어린이보호,1,200.0,360도전방면,30.0,2011-03,031-228-3304,37.2558789,127.0271961,2020-07-31,3740000,경기도 수원시
7931,경기도 수원시,경기도 수원시 권선구 탑동로58번길 6-2,경기도 수원시 권선구 탑동 766-1,어린이보호,1,200.0,360도전방면,30.0,2011-03,031-228-3304,37.2738984,126.9740633,2020-07-31,3740000,경기도 수원시
7932,경기도 수원시,경기도 수원시 권선구 매실로 70,경기도 수원시 권선구 호매실동 377-1,어린이보호,1,200.0,360도전방면,30.0,2011-03,031-228-3304,37.2677392,126.9573125,2020-07-31,3740000,경기도 수원시
7933,경기도 수원시,경기도 수원시 권선구 매실로42번길 7,경기도 수원시 권선구 호매실동 388-1,어린이보호,4,200.0,360도전방면,30.0,2011-03,031-228-3304,37.2669546,126.9556445,2020-07-31,3740000,경기도 수원시
7934,경기도 수원시,경기도 수원시 권선구 권중로25번길 24,,어린이보호,1,200.0,360도전방면,30.0,2011-03,031-228-3304,37.2546879,127.0339138,2020-07-31,3740000,경기도 수원시
7935,경기도 수원시,경기도 수원시 영통구 동수원로 290,경기도 수원시 영통구 매탄동 1181-7,어린이보호,4,200.0,360도전방면,30.0,2011-03,031-228-3304,37.2551558,127.0363939,2020-07-31,3740000,경기도 수원시
7936,경기도 수원시,경기도 수원시 권선구 매송고색로 687,경기도 수원시 권선구 고색동 386-10,어린이보호,1,200.0,360도전방면,30.0,2011-03,031-228-3304,37.250599,126.9795388,2020-07-31,3740000,경기도 수원시
7937,경기도 수원시,경기도 수원시 권선구 매송고색로 681,경기도 수원시 권선구 고색동 389-5,어린이보호,1,200.0,360도전방면,30.0,2011-03,031-228-3304,37.2501842,126.9779271,2020-07-31,3740000,경기도 수원시
